feo_cohort,segment,enrol_status,click_cohort,imp_source,product_name,enrols,impression_count,click_count,payout,conversion_count
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,2. FUNNEL_TWO,current,13902,303,178,102.2625,15
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,personal_loans,5960,63,24,166.57305,3
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,2. FUNNEL_TWO,kashkick,5960,14,2,,0
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,debt_relief,5960,1192,27,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,9. COMMS,kashkick,13902,11,11,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,super_money,13902,9,0,,0
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,current,13902,290,279,102.26249999999999,15
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,5kfunds,13902,32,0,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,9. COMMS,kashkick,13902,164,164,87.0,21
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,1. FUNNEL,super_money,13902,2,1,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,9. COMMS,debt_relief,13902,101,101,,0
2025-06-30,NS1/3 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,current,5960,454,431,259.0649999999999,38
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,super_money,13902,1,0,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,amone_step_card,13902,36,1,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,free_cash,13902,2404,156,99.36000000000001,18
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,9. COMMS,kashkick,5960,3,3,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,ndr,13902,5609,195,,0
2025-06-30,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,super_money,5960,3557,151,1.716,2
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,4. DASHBOARD,personal_loans,5960,1523,320,892.182105,177
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,kashkick,5960,13,12,3.0,1
2025-06-30,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,cleo,5960,292,41,22.5,2
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,kashkick,5960,835,17,3.0,1
2025-07-14,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,free_cash,13902,5,5,7.0,1
2025-06-30,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,debt_relief,5960,3557,70,,0
2025-06-30,NS1/3 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,brigit,5960,1,1,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,my_lending_wallet,13902,32,0,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,super_money,13902,1,1,,0
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,1. FUNNEL,free_cash,5960,2,0,,0
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,earnin,5960,30,1,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,free_cash,13902,9,1,,0
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,cleo,5960,103,17,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,debt_relief,13902,4,0,,0
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,super_money,13902,1,0,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,current,13902,7466,982,709.0199999999996,104
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,current,5960,1505,160,177.25499999999997,26
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,1. FUNNEL,super_money,5960,2,0,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,kashkick_engine,13902,2,0,,0
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,brigit,5960,1116,422,400.0,20
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,free_cash,13902,2722,147,97.54000000000002,20
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,earnin,13902,2036,31,82.5,1
2025-07-14,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,current,13902,541,519,388.59749999999985,57
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,super_money,5960,1505,40,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,debt_relief,13902,2403,25,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,personal_loans,13902,33,33,28.340025,25
2025-07-14,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,free_cash,13902,4,0,,0
2025-06-30,NS1/3 & all CS,Enrolled,1. W1,9. COMMS,debt_relief,5960,47,47,,0
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,1. FUNNEL,super_money,5960,1,0,,0
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,cash_advance,5960,1391,97,228.0,8
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,1. FUNNEL,cash_advance,5960,2,1,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,1. FUNNEL,cash_advance,13902,3,1,,0
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,debt_relief,5960,2,1,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,credit_card_omf,13902,2,1,,0
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,kashkick,5960,13,13,3.0,1
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,2. FUNNEL_TWO,kashkick,13902,7,1,,0
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,super_money,5960,219,10,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,personal_loans,13902,26,10,18.100845,3
2025-06-30,NS1/3 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,personal_loans,5960,142,141,744.2574900000002,55
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,brigit,5960,1402,423,200.0,10
2025-07-14,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,earnin,13902,1606,25,,0
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,kashkick,5960,57,12,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,super_money,13902,2276,157,7.8,1
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,debt_relief,13902,2722,46,66.673125,1
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,personal_loans,5960,32,30,170.7111,9
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,cash_advance,5960,827,101,114.0,4
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,kashkick,5960,102,25,6.0,2
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,lending_for_bad_credit,5960,9,0,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,1. FUNNEL,personal_loans,13902,15,3,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,auto_insurance,13902,45,0,,0
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,1. FUNNEL,personal_loans,5960,8,0,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,kashkick,13902,9865,3440,1354.0,410
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,brigit,13902,1839,521,280.0,14
2025-07-14,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,personal_loans,13902,1928,189,191.84079524999996,86
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,1. FUNNEL,brigit,13902,2,1,,0
2025-07-14,NS2 & all CS,Enrolled,4. Longtail,1. FUNNEL,free_cash,13902,2,0,,0
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,cash_advance,5960,37,22,28.5,1
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,cleo,5960,17,2,,0
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,2. FUNNEL_TWO,cash_advance,5960,20,16,85.5,3
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,super_money,5960,1,1,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,kashkick,13902,142,131,96.0,32
2025-06-30,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,cash_advance,5960,1070,133,142.5,5
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,personal_loans,13902,37,34,17.70531,15
2025-06-30,NS1/3 & all CS,Enrolled,2. W2-W4,9. COMMS,current,5960,1,1,,0
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,super_money,5960,1,1,,0
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,amone_step_card,5960,14,0,,0
2025-07-14,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,debt_relief,13902,15,0,,0
2025-07-14,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,personal_loans,13902,42,41,30.142545,20
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,kashkick,13902,54,14,,0
2025-07-14,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,brigit,13902,1,1,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,brigit,12409,2537,606,180.0,9
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,personal_loans,12409,13,12,18.74268,6
2025-09-29,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,free_cash,12409,7006,455,630.0,90
2025-09-29,NS2 & all CS,Enrolled,3. M3,3. FUNNEL_THREE,brigit,12409,44,34,,0
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,auto_insurance,12409,220,0,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,debt_relief,12409,2536,18,,0
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,personal_loans,12409,4,3,2.083725,1
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,cash_advance,12409,2537,370,285.0,10
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,ndr,12409,1217,12,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,auto_insurance,12409,470,3,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,9. COMMS,personal_loans,12409,4,4,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,9. COMMS,kashkick,12409,11,11,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,super_money,12409,2,0,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,free_cash,12409,2,0,,0
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,9. COMMS,kashkick,12409,3,3,,0
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,kashkick,12409,2761,52,25.0,5
2025-09-29,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,cash_advance,12409,2,0,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,earnin,12409,6,0,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,ndr,12409,2535,71,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,personal_loans,12409,58,57,41.52519,21
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,current,12409,2761,262,170.43749999999997,25
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,2. FUNNEL_TWO,current,12409,176,76,27.27,4
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,super_money,12409,8,1,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,current,12409,1351,1286,927.1799999999995,136
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,credit_card_omf,12409,9,9,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,amone_kovo_card,12409,59,1,,0
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,debt_relief,12409,1217,2,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,9. COMMS,personal_loans,12409,922,922,355.38013499999994,143
2025-09-29,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,kashkick,12409,7006,151,50.0,8
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,free_cash,12409,2536,138,133.0,19
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,engine_credit_card,12409,72,1,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,3. FUNNEL_THREE,current,12409,66,32,6.8175,1
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,free_cash,12409,20,19,7.0,1
2025-09-29,NS2 & all CS,Enrolled,1. W1,9. COMMS,current,12409,58,58,,0
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,personal_loans,12409,271,15,3.56724,3
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,9. COMMS,personal_loans,12409,39,39,6.500249999999999,4
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,brigit,12409,2761,471,180.0,9
2025-09-29,NS2 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,debt_relief,12409,18,18,31.7475,1
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,personal_loans,12409,9,2,3.2476949999999998,2
2025-09-29,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,brigit,12409,2,0,,0
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,cash_advance,12409,1,0,,0
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,super_money,12409,1,0,,0
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,brigit,12409,1217,238,160.0,8
2025-09-29,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,debt_relief,12409,7006,102,63.18506249999999,1
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,engine_credit_card,12409,220,3,,0
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,personal_loans,12409,679,72,52.80469500000001,18
2025-09-29,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,debt_relief,12409,2,0,,0
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,debt_relief,12409,2761,21,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,brigit,12409,2,1,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,kashkick,12409,102,21,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,2. FUNNEL_TWO,current,12409,627,299,40.905,6
2025-09-29,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,super_money,12409,2,0,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,current,12409,7006,728,668.1149999999998,98
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,5kfunds,12409,183,0,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,lending_for_bad_credit,12409,66,0,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,5kfunds,12409,66,0,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,cash_advance,12409,7006,1230,1197.0,42
2025-09-29,NS2 & all CS,Enrolled,1. W1,3. FUNNEL_THREE,brigit,12409,743,549,160.0,8
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,personal_loans,12409,485,61,29.703464999999998,20
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,3. FUNNEL_THREE,current,12409,8,3,6.8175,1
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,current,12409,1217,154,109.07999999999998,16
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,current,12409,819,365,88.6275,13
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,1. FUNNEL,kashkick,12409,24,6,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,brigit,12409,2,2,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,personal_loans,12409,23,23,26.318625,15
2025-09-29,NS2 & all CS,Enrolled,3. M3,1. FUNNEL,free_cash,12409,2,0,,0
2025-09-29,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,my_lending_wallet,12409,66,0,,0
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,1. FUNNEL,personal_loans,12409,1,1,7.699860000000001,1
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,4. DASHBOARD,personal_loans,12409,332,52,53.307,27
2025-09-29,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,ndr,12409,7006,181,392.805,1
2025-09-29,NS2 & all CS,Enrolled,3. M3,4. DASHBOARD,personal_loans,12409,674,111,61.950570000000006,43
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,lending_for_bad_credit,12409,183,0,,0
2025-09-29,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,current,12409,834,758,354.5099999999999,52
2025-09-29,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,amone_kovo_card,12409,220,1,,0
2025-09-29,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,brigit,12409,7006,1606,560.0,28
