feo_cohort,segment,enrol_status,click_cohort,imp_source,unified_Lender,enrols,impression_count,click_count,payout,conversion_count
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,Instacash,9251,1,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,others,9251,42,12,3.375,1
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,NetCredit,9251,7,1,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,OppLoans,9251,65,1,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,5KFunds,9251,15,4,3.0780000000000003,3
2026-03-02,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,NetCredit,9251,2,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,OppLoans,9251,5,2,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,5KFunds,9251,24,11,10.7865,10
2026-03-02,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,Instacash,9251,1,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,others,9251,33,15,19.71,5
2026-03-02,NS2 & all CS,Enrolled,1. W1,7. LOAN_AGENT,others,9251,2,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,7. LOAN_AGENT,OppLoans,9251,1,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,,Instacash,9251,0,0,,0
2026-03-02,NS2 & all CS,Not Enrolled,1. W1,,OppLoans,9251,0,0,181.8432,1
2026-03-02,NS2 & all CS,Not Enrolled,1. W1,,5KFunds,9251,0,0,,0
2026-03-02,NS2 & all CS,Not Enrolled,1. W1,,others,9251,0,0,389.90819999999997,3
2026-03-02,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,9251,0,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,,5KFunds,9251,0,0,,0
2026-03-02,NS2 & all CS,Not Enrolled,1. W1,,NetCredit,9251,0,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,,OppLoans,9251,0,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,,Lending For Bad Credit,9251,0,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,others,9251,5797,1236,2860.0772099999995,239
2026-03-02,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Lending For Bad Credit,9251,33,6,5.1705000000000005,4
2026-03-02,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,5KFunds,9251,3898,718,671.9017500000004,556
2026-03-02,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,NetCredit,9251,107,41,181.8432,1
2026-03-02,NS2 & all CS,Enrolled,1. W1,,others,9251,0,0,,0
2026-03-02,NS2 & all CS,Not Enrolled,1. W1,,Instacash,9251,0,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,,NetCredit,9251,0,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,Instacash,9251,1,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,Debt Advisor,9251,1,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,OppLoans,9251,18,9,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,Lending For Bad Credit,9251,7,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,Instacash,9251,29,6,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,OppLoans,9251,222,118,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,NetCredit,9251,38,19,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,others,9251,1453,443,654.9446849999999,119
2026-03-02,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,5KFunds,9251,1000,360,386.97075,336
2026-03-02,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,Debt Advisor,9251,8,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,others,9251,11,2,16.500165,1
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,5KFunds,9251,2,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,others,9251,858,65,73.782165,8
2026-03-02,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,5KFunds,9251,99,13,9.328500000000002,8
2026-03-02,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,Debt Advisor,9251,3,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,Instacash,9251,105,10,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,5KFunds,9251,51,11,9.166500000000001,9
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,Debt Advisor,9251,1,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,Instacash,9251,2,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,OppLoans,9251,13,6,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,NetCredit,9251,1,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,others,9251,77,12,18.525164999999998,2
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,Lending For Bad Credit,5596,19,3,3.2805,2
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,others,5596,3321,527,1780.5473999999997,141
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,NetCredit,5596,133,36,545.5296,3
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,Debt Advisor,5596,47,2,3.825,2
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,OppLoans,5596,730,204,660.0,4
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,5KFunds,5596,2152,339,257.95799999999997,240
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,Instacash,5596,95,8,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,NetCredit,5596,1,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,Debt Advisor,5596,1,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,OppLoans,5596,8,1,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,5KFunds,5596,27,2,2.673,2
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,others,5596,45,7,1.8900000000000001,2
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,Instacash,5596,3,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,others,5596,833,66,65.31750000000001,10
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,5KFunds,5596,109,8,9.98325,7
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,Instacash,5596,81,6,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,Instacash,5596,1,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,5KFunds,5596,2,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,others,5596,14,2,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,Debt Advisor,5596,6,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,NetCredit,5596,40,10,363.6864,2
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,Instacash,5596,19,2,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,others,5596,930,272,1418.247975,91
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,5KFunds,5596,589,204,240.90074999999996,186
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,Lending For Bad Credit,5596,1,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,OppLoans,5596,195,71,495.0,3
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,others,5596,54,14,34.9275,6
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,OppLoans,5596,12,8,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,5KFunds,5596,36,8,5.60925,7
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,Instacash,5596,2,1,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,5KFunds,5596,238,77,71.5905,69
2026-03-02,NS1/3 & all CS,Not Enrolled,1. W1,,5KFunds,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,,Debt Advisor,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,,NetCredit,5596,0,0,113.251815,1
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,,Lending For Bad Credit,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Not Enrolled,1. W1,,OppLoans,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,,5KFunds,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,,others,5596,0,0,514.0065,3
2026-03-02,NS1/3 & all CS,Not Enrolled,1. W1,,others,5596,0,0,512.1732000000001,3
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,,Instacash,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Not Enrolled,1. W1,,Instacash,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Not Enrolled,1. W1,,NetCredit,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,,OppLoans,5596,0,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,7. LOAN_AGENT,others,5596,1,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,6. AI_ASSISTANT,others,5596,1,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,OppLoans,5596,1,1,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,Instacash,5596,2,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,5KFunds,5596,18,7,5.0355,5
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,others,5596,26,9,17.445165,2
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,5KFunds,5596,16,3,2.6864999999999997,3
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,NetCredit,5596,9,1,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,OppLoans,5596,53,5,,0
2026-03-02,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,others,5596,46,4,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,OppLoans,5596,489,64,181.8432,1
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,others,5596,572,119,518.08875,20
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Instacash,5596,6,2,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Debt Advisor,5596,3,0,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,NetCredit,5596,90,14,,0
2026-03-02,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Lending For Bad Credit,5596,2,0,,0
2026-02-23,NS2 & all CS,Not Enrolled,1. W1,,NetCredit,9670,0,0,325.98720000000003,2
2026-02-23,NS2 & all CS,Enrolled,1. W1,,others,9670,0,0,,0
2026-02-23,NS2 & all CS,Enrolled,1. W1,,OppLoans,9670,0,0,,0
2026-02-23,NS2 & all CS,Not Enrolled,1. W1,,Instacash,9670,0,0,,0
2026-02-23,NS2 & all CS,Enrolled,1. W1,,5KFunds,9670,0,0,,0
2026-02-23,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,9670,0,0,,0
2026-02-23,NS2 & all CS,Enrolled,1. W1,,Instacash,9670,0,0,,0
2026-02-23,NS2 & all CS,Enrolled,1. W1,,NetCredit,9670,0,0,,0
2026-02-23,NS2 & all CS,Not Enrolled,1. W1,,OppLoans,9670,0,0,,0
2026-02-23,NS2 & all CS,Not Enrolled,1. W1,,5KFunds,9670,0,0,,0
2026-02-23,NS2 & all CS,Enrolled,1. W1,,Lending For Bad Credit,9670,0,0,,0
2026-02-23,NS2 & all CS,Not Enrolled,1. W1,,others,9670,0,0,231.0,2
